model_id,index,front,nmaterials,minPoint,maxPoint,aligned.dims,,variantIds
561,442,"0,0,1",2,"-0.299971, 2.7030706E-5, -0.20003","0.299971, 0.28, 0.20003","59.9942, 27.997295, 40.006",,
562,443,"0,0,1",6,"-2.5, -7.851124E-4, -1.43036","2.5, 1.72, 1.43036","500.0, 172.07852, 286.072",,
563,444,"0,0,1",3,"-0.500039, 6.15716E-5, -0.200104","0.500039, 0.53, 0.200104","100.0078, 52.99384, 40.020798",,
564,445,"0,0,1",2,"-0.474941, 0.0, -0.200022","0.474941, 0.62, 0.200022","94.9882, 62.0, 40.0044",,
565,446,"0,0,1",2,"-0.51, 0.0, -0.245","0.51, 0.52, 0.245","102.0, 52.0, 49.0",,
566,447,"0,0,1",3,"-0.3, 0.0, -0.3","0.3, 0.5, 0.3","60.000004, 50.0, 60.000004",,
567,448,"0,0,1",2,"-0.55, 0.00999999, -0.3","0.55, 0.4, 0.3","110.0, 39.0, 60.000004",,
568,449,"0,0,1",3,"-0.55, 0.0, -0.3","0.55, 0.44, 0.3","110.0, 44.0, 60.000004",,
569,450,"0,0,1",2,"-0.375, 0.0, -0.274992","0.375, 0.45, 0.274992","75.0, 45.0, 54.998398",,
57,451,"0,0,1",2,"-0.825072, 0.0, -0.467768","0.825072, 0.913217, 0.502079","165.0144, 91.3217, 96.9847",,
570,452,"0,0,1",2,"-0.78, 1.4805794E-4, -0.21999198","0.78, 1.47, 0.22000599","156.0, 146.98518, 43.9998",,
577,453,"0,0,1",3,"-0.7550169, 0.0, -0.214948","0.755005, 1.60006, 0.215806","151.0022, 160.006, 43.0754",,
579,454,"0,0,1",4,"-0.3, 0.0, -0.3","0.3, 0.81, 0.28172404","60.000004, 81.0, 58.1724",,
580,455,"0,0,1",3,"-0.6, 2.9802322E-8, -0.35","0.6, 0.38, 0.35","120.00001, 37.999996, 70.0",,
586,456,"0,0,1",2,"-0.635, -2.9802322E-8, -0.6","0.635, 0.35, 0.6","127.0, 35.0, 120.00001",,
587,457,"0,0,1",3,"-0.399844, 0.0, -0.200212","0.399844, 0.49992, 0.199316","79.968796, 49.992, 39.952797",,
589,458,"0,0,1",2,"-0.45, 0.0, -0.45","0.45, 0.33, 0.45","90.0, 33.0, 90.0",,
590,459,"0,0,1",4,"-0.92, 0.029999971, -0.245009","0.92, 1.49029, 0.24350399","184.0, 146.029, 48.851303",,
591,460,"0,0,1",3,"-0.45, -5.9604645E-7, -0.3","0.45, 0.400002, 0.3","90.0, 40.000256, 60.000004",,
592,461,"0,0,1",3,"-0.55, 0.0, -0.305","0.55, 0.36, 0.305","110.0, 36.0, 61.0",,
593,462,"0,0,1",9,"-0.30000204, 0.0, -0.31","0.3, 2.18, 0.31","60.000202, 218.0, 62.0",,
594,463,"0,0,1",6,"-0.45, 0.0, -0.31","0.45, 2.18, 0.31","90.0, 218.0, 62.0",,
595,464,"0,0,1",6,"-0.3, 0.0, -0.31","0.3, 2.18, 0.31","60.000004, 218.0, 62.0",,
596,465,"0,0,1",3,"-0.225, 0.0, -0.31","0.225, 1.46, 0.31","45.0, 146.0, 62.0",,
597,466,"0,0,1",3,"-0.225, 0.0, -0.31","0.225, 1.46, 0.31","45.0, 146.0, 62.0",,
598,467,"0,0,1",4,"-0.225, 0.0, -0.31","0.225, 2.18, 0.31","45.0, 218.0, 62.0",,
599,468,"0,0,1",5,"-0.45, 0.0, -0.31","0.45, 2.18, 0.31","90.0, 218.0, 62.0",,
60,469,"0,0,1",2,"-0.895072, 0.0, -0.5684041","0.895072, 0.772575, 0.52607","179.0144, 77.2575, 109.4474",,
600,470,"0,0,1",4,"-0.45, 0.0, -0.31","0.45, 2.18, 0.31","90.0, 218.0, 62.0",,
601,471,"0,0,1",4,"-0.225, 0.0, -0.31","0.225, 2.18, 0.31","45.0, 218.0, 62.0",,
602,472,"0,0,1",5,"-0.525, 0.0, -0.31","0.525, 2.18003, 0.31","104.99999, 218.003, 62.0",,
603,473,"0,0,1",5,"-0.225, 0.0, -0.31","0.225, 2.18, 0.31","45.0, 218.0, 62.0",,
604,474,"0,0,1",5,"-0.525, -4.1675568E-4, -0.31","0.525, 2.18003, 0.31","104.99999, 218.04468, 62.0",,
605,475,"0,0,1",2,"-0.75, 0.0, -0.350214","0.75, 0.9, 0.350214","150.0, 90.0, 70.0428",,
606,476,"0,0,1",3,"-0.3, 0.0, -0.196574","0.3, 2.0, 0.196574","60.000004, 200.0, 39.3148",,
607,477,"0,0,1",3,"-0.185, 0.0, -0.185","0.185, 2.0, 0.185","37.0, 200.0, 37.0",,
608,478,"0,0,1",3,"-0.68, 0.0, -0.24657398","0.68, 0.45, 0.246575","136.0, 45.0, 49.314903",,
609,479,"0,0,1",5,"-0.3, 0.0, -0.19","0.3, 2.0, 0.19","60.000004, 200.0, 38.0",,
610,480,"0,0,1",5,"-0.3, 0.0, -0.19","0.3, 2.0, 0.19","60.000004, 200.0, 38.0",,
611,481,"0,0,1",3,"-0.21, 0.0, -0.22","0.21, 2.11, 0.22","42.0, 210.99998, 44.0",,
612,482,"0,0,1",2,"-0.47, 0.0, -0.2","0.47, 2.11, 0.2","94.0, 210.99998, 40.0",,
613,483,"0,0,1",3,"-0.4, 0.0, -0.31","0.4, 2.11, 0.31","80.0, 210.99998, 62.0",,
614,484,"0,0,1",3,"-0.375, 0.0, -0.22","0.375, 1.9, 0.22","75.0, 190.0, 44.0",,
615,485,"0,0,1",4,"-0.68, 0.0, -0.24","0.68, 0.76, 0.24","136.0, 76.0, 48.0",,
616,486,"0,0,1",4,"-0.68, 0.0, -0.24","0.68, 0.45, 0.24","136.0, 45.0, 48.0",,
617,487,"0,0,1",2,"-0.75, 0.0, -0.305","0.75, 0.55, 0.305","150.0, 55.0, 61.0",,
618,488,"0,0,1",3,"-0.75, 0.0, -0.20999998","0.75, 0.37, 0.20999998","150.0, 37.0, 42.0",,
620,489,"0,0,1",3,"-0.385094, 0.0, -0.49965703","0.385094, 1.17676, 0.5","77.0188, 117.675995, 99.9657",,
621,490,"0,0,1",2,"-0.5, 0.0020145178, -0.059966497","0.5, 0.820663, 0.059966497","100.0, 81.864845, 11.993301",,
622,491,"0,0,1",5,"-1.345, -1.320839E-4, -0.059994794","1.345, 2.475, 0.0599946","269.0, 247.51318, 11.9989395",,
623,492,"0,0,1",3,"-0.2814, 0.0, -0.264899","0.280008, 1.5, 0.264899","56.1408, 150.0, 52.979797",,
624,493,"0,0,1",3,"-0.295036, 0.0, -0.269782","0.295036, 0.939927, 0.269781","59.0072, 93.9927, 53.9563",,
625,494,"0,0,1",4,"-1.2095, 2.3841858E-7, -0.0947938","1.2095, 2.5, 0.0947939","241.9, 249.99997, 18.95877",,
626,495,"0,0,1",3,"-0.384782, 7.120371E-4, -0.345","0.384782, 0.7, 0.345","76.9564, 69.928795, 69.0",,
627,496,"0,0,1",3,"-0.23, 0.0, -0.23","0.23, 0.68, 0.23","46.0, 68.0, 46.0",,
628,497,"0,0,1",5,"-1.32, 0.0, -0.2","1.32, 0.89, 0.2","264.0, 89.0, 40.0",,
629,498,"0,0,1",3,"-0.0995688, 0.0, -0.0995688","0.0995688, 0.5, 0.0995688","19.91376, 50.0, 19.91376",,
63,499,"0,0,1",2,"-1.0, 0.0027002096, -0.74799895","1.0, 0.931926, 0.882462","200.0, 92.92258, 163.04611",,
630,500,"0,0,1",3,"-0.0597779, 0.0, -0.0597779","0.0597779, 0.741915, 0.0597779","11.95558, 74.1915, 11.95558",,
631,501,"0,0,1",3,"-0.379997, -2.9802322E-8, -0.349779","0.379997, 0.28, 0.349779","75.9994, 28.000002, 69.9558",,
632,502,"0,0,1",3,"-0.24, 2.5689602E-4, -0.24","0.24, 0.7, 0.24","48.0, 69.97431, 48.0",,
633,503,"0,0,1",5,"-0.38, 0.0, -0.03","0.38, 0.5, 0.03","76.0, 50.0, 6.0",,
634,504,"0,0,1",4,"-0.59582, 0.0, -0.589641","0.59161, 1.91872, 0.5916101","118.743004, 191.872, 118.1251",,
635,505,"0,0,1",4,"-2.90008, -5.9604645E-8, -1.90008","2.90008, 0.619996, 1.90008","580.016, 61.999607, 380.016",,
636,506,"0,0,1",5,"-0.35, 0.0, -0.134985","0.35, 0.6, 0.134985","70.0, 60.0, 26.997",,
637,507,"0,0,1",4,"-0.775, 0.0, -0.760381","0.775, 1.97361, 0.759619","155.0, 197.36101, 152.0",,
638,508,"0,0,1",5,"-0.809988, 0.0, -0.45562","0.809988, 1.83, 0.45437998","161.9976, 183.0, 91.0",,
639,509,"0,0,1",5,"-0.405, 0.0, -0.45562","0.405, 1.83005, 0.45437998","81.0, 183.005, 91.0",,
64,510,"0,0,1",2,"-0.890229, 0.0, -0.505","0.890229, 0.829265, 0.505","178.04579, 82.9265, 101.0",,
640,511,"0,0,1",4,"-0.534935, 0.0, -0.454995","0.534935, 1.01968, 0.454995","106.987, 101.968, 90.999",,
641,512,"0,0,1",2,"-0.454995, 0.0, -0.454995","0.454995, 1.22, 0.454995","90.999, 122.0, 90.999",,
645,513,"0,0,1",2,"-1.2, 0.0, -0.53","1.2, 0.905711, 0.53","240.00002, 90.5711, 105.99999",,
646,514,"0,0,1",2,"-0.46, 0.0, -0.485","0.46, 0.905711, 0.485","92.0, 90.5711, 97.0",,
647,515,"0,0,1",2,"-0.199896, 0.0, -0.199988","0.199896, 0.462, 0.199988","39.9792, 46.2, 39.997597",,
648,516,"0,0,1",3,"-0.045, 0.0015118569, -0.07265371","0.045, 0.127738, 0.0724819","9.0, 12.622615, 14.51356",,
649,517,"0,0,1",3,"-0.44, -2.2500753E-4, -0.12","0.44, 0.51, 0.12","88.0, 51.0225, 24.0",,
650,518,"0,0,1",3,"-0.56, 0.0, -0.499875","0.56, 0.460109, 0.499875","112.0, 46.0109, 99.975",,
651,519,"0,0,1",9,"-0.185002, 0.0, -0.149961","0.185, 0.27, 0.150047","37.0002, 27.000002, 30.000801",,
652,520,"0,0,1",5,"-1.2, 0.0, -0.8","1.2, 2.7, 0.8","240.00002, 270.0, 160.0",,
653,521,"0,0,1",5,"-0.899976, 0.0, -0.789881","0.899976, 2.7, 0.78999996","179.99521, 270.0, 157.9881",,
654,522,"0,0,1",2,"-0.6, 0.0, -0.38","0.6, 0.76, 0.38","120.00001, 76.0, 76.0",,
655,523,"0,0,1",2,"-0.875, -2.757907E-4, -0.45","0.875, 0.749836, 0.45","175.0, 75.011185, 90.0",,
656,524,"0,0,1",2,"-0.7, 1.8775463E-5, -0.39","0.7, 0.750019, 0.39","140.0, 75.00002, 78.0",,
657,525,"0,0,1",3,"-0.400019, 0.0, -0.319997","0.400019, 0.979966, 0.32","80.0038, 97.9966, 63.9997",,
658,526,"0,0,1",7,"-0.4, -1.0967255E-5, -0.219989","0.4, 1.59999, 0.220011","80.0, 160.0001, 44.0",,
659,527,"0,0,1",3,"-0.4, -1.090765E-5, -0.219989","0.4, 0.869998, 0.220011","80.0, 87.00089, 44.0",,
660,528,"0,0,1",3,"-0.4, -1.090765E-5, -0.219989","0.4, 0.869998, 0.220011","80.0, 87.00089, 44.0",,
661,529,"0,0,1",2,"-0.300002, -1.0967255E-5, -0.31998098","0.300002, 1.51161, 0.30993998","60.0004, 151.16211, 62.992104",,
662,530,"0,0,1",8,"-0.300007, 0.0, -0.319997","0.300007, 0.979966, 0.31993598","60.001396, 97.9966, 63.9933",,
663,531,"0,0,1",4,"-0.400019, 0.0, -0.319997","0.400019, 0.98446, 0.32","80.0038, 98.446, 63.9997",,
664,532,"0,0,1",2,"-0.725, 0.0, -0.425","0.725, 0.748453, 0.425","145.0, 74.8453, 85.0",,
665,533,"0,0,1",4,"-0.3, 0.0, -0.305232","0.3, 1.46, 0.305232","60.000004, 146.0, 61.046402",,
666,534,"0,0,1",3,"-0.3, 0.0, -0.305232","0.3, 1.46, 0.305232","60.000004, 146.0, 61.046402",,
667,535,"0,0,1",3,"-0.3, 0.0, -0.16023201","0.3, 0.6, 0.16023201","60.000004, 60.000004, 32.0464",,
668,536,"0,0,1",4,"-0.3, 0.0, -0.16023198","0.3, 0.6, 0.16023198","60.000004, 60.000004, 32.0464",,
669,537,"0,0,1",3,"-0.3, -5.9604645E-8, -0.305232","0.3, 0.95, 0.305232","60.000004, 95.0, 61.046402",,
67,538,"0,0,1",2,"-0.455, 0.0, -0.46999997","0.455, 0.945857, 0.470869","91.0, 94.5857, 94.0869",,
670,539,"0,0,1",4,"-0.6, 0.0, -0.305232","0.6, 1.03, 0.305232","120.00001, 103.0, 61.046394",,
671,540,"0,0,1",7,"-0.3, 0.0, -0.305232","0.3, 1.75171, 0.305232","60.000004, 175.171, 61.046402",,
672,541,"0,0,1",2,"-0.315, -5.9604645E-8, -0.315","0.315, 0.95, 0.315","63.0, 95.0, 63.0",,
673,542,"0,0,1",4,"-0.87, -2.3841858E-7, -1.1317298","0.87, 2.7, 1.1317298","174.0, 270.00003, 226.346",,
674,543,"0,0,1",3,"-0.685199, 1.1920929E-7, -0.284942","0.685199, 1.05017, 0.285058","137.03981, 105.01698, 57.0",,
675,544,"0,0,1",1,"-0.77, -0.0012880564, -0.534756","0.77, 0.748712, 0.534756","154.0, 75.00001, 106.9512",,
676,545,"0,0,1",1,"-0.75, 0.0, -0.499996","0.75, 0.75, 0.499996","150.0, 75.0, 99.9992",,
677,546,"0,0,1",4,"-0.299741, 5.9723854E-5, -0.28418404","0.299741, 0.877938, 0.293819","59.9482, 87.78783, 57.8003",,
678,547,"0,0,1",6,"-0.149929, 0.0, -0.149929","0.149929, 0.204182, 0.149929","29.9858, 20.4182, 29.9858",,
679,548,"0,0,1",2,"-0.099877, 1.4097989E-4, -0.0151105","0.099877, 0.199859, 0.014889501","19.975399, 19.971802, 3.0",,
680,549,"0,0,1",3,"-0.5, 2.6643276E-5, -0.015065001","0.5, 0.999973, 0.0149638","100.0, 99.99464, 3.00288",,
681,550,"0,0,1",2,"-0.249916, 1.2528896E-4, -0.015172001","0.249916, 0.499875, 0.014828","49.9832, 49.974968, 3.0",,
682,551,"0,0,1",1,"-1.55511, -6.0009956E-4, -0.43978","1.55511, 2.59476, 0.43978","311.022, 259.53598, 87.956",,
683,552,"0,0,1",4,"-0.119233, -5.671382E-4, -0.119233","0.119233, 0.38, 0.119233","23.8466, 38.056713, 23.8466",,
684,553,"0,0,1",3,"-0.104286, 0.0, -0.104286","0.104286, 0.382875, 0.104286","20.8572, 38.2875, 20.8572",,
685,554,"0,0,1",3,"-0.05, 0.0, -0.05","0.05, 0.363991, 0.05","10.0, 36.399097, 10.0",,
686,555,"0,0,1",2,"-1.5, -0.0050001144, -0.49933797","1.5, 2.005, 0.5","300.0, 201.00002, 99.9338",,
687,556,"0,0,1",1,"-0.132704, 0.0, -0.314874","0.145636, 0.208297, 0.314874","27.834, 20.8297, 62.9748",,
688,557,"0,0,1",1,"-0.12594101, -1.4707446E-4, -0.20094699","0.12475101, 0.491172, 0.198434","25.069199, 49.131905, 39.9381",,
689,558,"0,0,1",1,"-0.0994077, -1.4263391E-4, -0.47398698","0.08626521, 0.375986, 0.465232","18.567291, 37.612865, 93.921906",,
69,559,"0,0,1",2,"-0.35, 0.0, -0.35830903","0.35, 0.639313, 0.361691","70.0, 63.931297, 72.0",,
690,560,"0,0,1",2,"-1.47077, -5.9604645E-8, -1.38889","1.47923, 0.874009, 1.38111","295.0, 87.40091, 277.0",,
691,561,"0,0,1",2,"-0.075143, 0.0, -0.0950001","0.075143, 0.33, 0.0951443","15.028601, 33.0, 19.01444",,
692,562,"0,0,1",2,"-0.94, 0.0, -0.45","0.94, 0.88, 0.45005304","188.0, 88.0, 90.0053",,
693,563,"0,0,1",2,"-0.45, 0.0, -0.45","0.45, 0.88, 0.45005304","90.0, 88.0, 90.0053",,
694,564,"0,0,1",8,"-1.6, -1.1920929E-7, -0.935001","1.6, 1.1, 0.93500006","320.0, 110.00001, 187.00009",,
695,565,"0,0,1",8,"-1.69747, 0.0, -0.875052","1.69747, 2.05, 0.875051","339.494, 205.0, 175.0103",,
696,566,"0,0,1",6,"-0.849848, -8.404255E-6, -0.849848","0.849848, 0.897676, 0.849848","169.96959, 89.76844, 169.96959",,
697,567,"0,0,1",4,"-0.674984, -5.9604645E-8, -1.34978","0.674984, 0.977185, 1.34978","134.9968, 97.718506, 269.956",,
698,568,"0,0,1",1,"-0.724852, -2.2691488E-4, -0.35","0.724852, 0.889872, 0.350495","144.9704, 89.00989, 70.0495",,
699,569,"0,0,1",4,"-1.20975, 0.0, -1.21487","1.20975, 0.889793, 1.21487","241.95001, 88.9793, 242.974",,
70,570,"0,0,1",2,"-0.309678, -8.889437E-4, -0.666536","0.309678, 1.11933, 0.67491007","61.935596, 112.0219, 134.14459",,
700,571,"0,0,1",2,"-1.185, -5.9604645E-8, -1.185","1.18535, 0.845679, 1.185","237.035, 84.56791, 236.99998",,
701,572,"0,0,1",4,"-1.88486, -1.1920929E-7, -1.33987","1.88486, 1.19564, 1.33987","376.97202, 119.563995, 267.974",,
702,573,"0,0,1",4,"-3.8411198, -2.3841858E-7, -2.34531","3.8395, 0.669901, 2.34469","768.062, 66.99013, 469.0",,
703,574,"0,0,1",4,"-1.01, 0.0, -0.99016","1.01, 2.20904, 0.99015903","202.0, 220.90399, 198.03189",,
704,575,"0,0,1",3,"-1.135, 0.0, -0.685011","1.135, 2.20791, 0.684989","227.0, 220.791, 137.0",,
705,576,"0,0,1",3,"-1.8948, -5.9604645E-8, -1.69994","1.8948, 0.932611, 1.69994","378.96, 93.26111, 339.988",,
706,577,"0,0,1",5,"-1.155, 5.6028366E-5, -0.69982505","1.155, 2.05, 0.69982505","231.0, 204.9944, 139.965",,
707,578,"0,0,1",3,"-1.14, 0.0, -0.625","1.14, 1.18599, 0.625","228.0, 118.599, 125.0",,
708,579,"0,0,1",5,"-1.5, 0.0, -0.6","1.5, 1.2, 0.6","300.0, 120.00001, 120.00001",,
709,580,"0,0,1",4,"-0.3, -5.0127506E-5, -0.3","0.3, 0.85111, 0.3","60.000004, 85.11601, 60.000004",,
71,581,"0,0,1",1,"-0.39, -2.9802322E-8, -0.39","0.39, 0.45, 0.39","78.0, 45.0, 78.0",,
710,582,"0,0,1",4,"-0.285, 0.0, -0.325","0.285, 0.868986, 0.325","57.0, 86.8986, 65.0",,
711,583,"0,0,1",2,"-0.23, -5.9604645E-8, -0.26","0.23, 0.82002, 0.26","46.0, 82.00201, 52.0",,
712,584,"0,0,1",4,"-0.3, 4.1484833E-5, -0.42","0.3, 1.02984, 0.42","60.000004, 102.97985, 84.0",,
713,585,"0,0,1",4,"-0.35, 0.0, -0.35","0.35, 0.73, 0.35","70.0, 73.0, 70.0",,
714,586,"0,0,1",5,"-0.9, 0.0, -0.5","0.9, 0.75, 0.5","180.0, 75.0, 100.0",,
715,587,"0,0,1",1,"-0.75, 0.0, -0.4","0.75, 0.75, 0.4","150.0, 75.0, 80.0",,
716,588,"0,0,1",4,"-0.8, 0.0016931295, -0.45","0.8, 0.75, 0.45","160.0, 74.83069, 90.0",,
717,589,"0,0,1",3,"-1.73376, -0.0030255318, -1.7720401","1.60931, 4.85425, 1.53919","334.307, 485.7275, 331.123",,
718,590,"0,0,1",2,"-0.945, 0.0, -0.85","0.945, 1.14633, 0.85","189.0, 114.63301, 170.0",,
719,591,"0,0,1",1,"-0.42666304, -0.06344801, -0.431244","0.465006, 0.497514, 0.418685","89.1669, 56.0962, 84.9929",,
720,592,"0,0,1",1,"-1.5, 0.0, -0.25","1.5, 1.5, 0.25","300.0, 150.0, 50.0",,
721,593,"0,0,1",2,"-1.39396, 0.0, -1.03333","1.39396, 1.95763, 1.03333","278.792, 195.763, 206.66599",,
722,594,"0,0,1",2,"-2.79, 0.0, -0.0429486","2.79, 2.7, 0.0489862","558.0, 270.0, 9.19348",,
723,595,"0,0,1",3,"-0.26, 0.0, -0.26","0.26, 0.469657, 0.26","52.0, 46.965702, 52.0",,
724,596,"0,0,1",2,"-0.38, -1.9335747E-4, -0.405","0.38, 1.98244, 0.405","76.0, 198.26334, 81.0",,
725,597,"0,0,1",3,"-3.81258, 0.0, -3.86013","3.78122, 6.43077, 3.90534","759.38, 643.07697, 776.547",,
726,598,"0,0,1",3,"-0.468752, -0.015013635, -0.500526","0.460533, 0.563273, 0.50968","92.9285, 57.82866, 101.0206",,
727,599,"0,0,1",3,"-0.369356, -1.4901161E-8, -0.25441396","0.360644, 0.0927885, 0.275586","73.0, 9.2788515, 53.0",,
728,600,"0,0,1",6,"-0.342629, 0.0, -0.34185797","0.335968, 0.50764, 0.34002","67.859695, 50.764, 68.1878",,
729,601,"0,0,1",4,"-3.0047998, -0.003146708, -2.005","3.005, 0.818407, 2.0047998","600.98, 82.15537, 400.98004",,
73,602,"0,0,1",3,"-0.650021, 0.0, -0.910396","0.650021, 2.12, 0.09000003","130.0042, 211.99998, 100.0396",,"73,73_0"
73_0,602,"0,0,1",3,"-0.650021, 0.0, -0.160436","0.650021, 2.12, 0.09","130.0042, 211.99998, 25.0436",,"73,73_0"
730,603,"0,0,1",5,"-3.46506, -1.1920929E-7, -4.42021","3.46506, 1.50217, 4.42021","693.012, 150.21701, 884.042",,
731,604,"0,0,1",4,"-0.92, -2.9802322E-8, -0.49","0.92, 0.312515, 0.49","184.0, 31.251501, 98.0",,
732,605,"0,0,1",4,"-0.05, 0.0, -0.05","0.05, 0.188675, 0.05","10.0, 18.8675, 10.0",,
733,606,"0,0,1",4,"-0.399314, 0.0, -0.41627204","0.407512, 1.27097, 0.421067","80.6826, 127.097, 83.7339",,
734,607,"0,0,1",3,"-0.852782, 0.0, -0.883901","0.853891, 2.55378, 0.848721","170.6673, 255.378, 173.2622",,
735,608,"0,0,1",5,"-0.221926, 0.0, -0.181965","0.227638, 0.698137, 0.18463701","44.9564, 69.8137, 36.6602",,
736,609,"0,0,1",4,"-0.32378596, 0.0, -0.296294","0.296799, 0.690784, 0.33565","62.0585, 69.0784, 63.194397",,
737,610,"0,0,1",5,"-0.26954, 0.0, -0.261141","0.27359003, 0.584539, 0.23404598","54.313, 58.4539, 49.5187",,
738,611,"0,0,1",4,"-0.352669, 0.0, -0.31012303","0.31378102, 0.817466, 0.351301","66.645, 81.746605, 66.1424",,
739,612,"0,0,1",4,"-0.10144, 0.0, -0.105293006","0.100595996, 0.239088, 0.101455","20.2036, 23.9088, 20.6748",,
74,613,"0,0,1",4,"-0.35009, 0.0, -0.199294","0.35009, 1.00824, 0.200706","70.018, 100.824, 40.0",,
740,614,"0,0,1",5,"-0.0650002, 0.0, -0.0600021","0.0650002, 0.270254, 0.0600021","13.00004, 27.025398, 12.00042",,
741,615,"0,0,1",4,"-0.134763, 0.0, -0.13887101","0.135797, 0.273642, 0.14019","27.056, 27.3642, 27.906101",,
742,616,"0,0,1",3,"-0.942503, 0.0, -0.990058","0.95056796, 0.627827, 0.990419","189.3071, 62.7827, 198.0477",,
743,617,"0,0,1",4,"-1.345, 0.0, -1.165","1.345, 3.18829, 1.165","269.0, 318.829, 233.0",,
744,618,"0,0,1",3,"-1.385, 0.0, -1.69","1.385, 2.44982, 1.69","277.0, 244.98201, 338.0",,
745,619,"0,0,1",3,"-1.00929, -7.31349E-5, -0.46074402","1.0065901, 0.778438, 0.460688","201.58801, 77.851105, 92.1432",,
746,620,"0,0,1",4,"-1.5, 0.0, -1.435","1.5, 2.51272, 1.435","300.0, 251.272, 287.0",,
747,621,"0,0,1",3,"-0.5, 0.0, -0.0250005","0.5, 1.55, 0.0249999","100.0, 155.0, 5.00004",,
748,622,"0,0,1",5,"-0.75, 0.0, -0.0349992","0.75, 2.5, 0.034999095","150.0, 250.0, 6.99983",,
749,623,"0,0,1",3,"-1.435, 0.0, -1.435","1.435, 3.25625, 1.435","287.0, 325.625, 287.0",,
75,624,"0,0,1",3,"-0.805012, -5.9604645E-8, -1.05","0.805012, 0.771659, 1.05","161.0024, 77.16591, 209.99998",,
750,625,"0,0,1",6,"-1.275, -9.536743E-7, -0.07500011","1.275, 1.46832, 0.075","255.0, 146.83209, 15.000011",,
751,626,"0,0,1",5,"-0.950005, -4.7683716E-7, -0.07500009","0.950005, 1.46832, 0.075","190.00099, 146.83205, 15.000011",,
752,627,"0,0,1",3,"-0.75, 0.0, -0.0550001","0.75, 2.5, 0.06","150.0, 250.0, 11.50001",,
753,628,"0,0,1",3,"-1.5, 0.0, -0.0550001","1.5, 2.5, 0.06","300.0, 250.0, 11.50001",,
754,629,"0,0,1",3,"-2.25, 0.0, -0.0550001","2.25, 2.5, 0.06","450.0, 250.0, 11.50001",,
755,630,"0,0,1",2,"-1.25, 5.1379204E-4, -0.0600001","1.2500601, 2.20051, 0.1","250.006, 219.99962, 16.00001",,
756,631,"0,0,1",3,"-1.85, 0.0, -0.0650001","1.85, 2.65, 0.07000001","370.0, 265.0, 13.50001",,"756,756_0"
756_0,631,"0,0,1",3,"-1.85, 0.0, -0.0650001","1.85, 2.65, 0.07000001","370.0, 265.0, 13.50001",,"756,756_0"
757,632,"0,0,1",3,"-0.88, 0.0, -0.830001","0.88, 2.39995, 0.06999999","176.0, 239.995, 90.0001",,"757,757_0"
757_0,632,"0,0,1",3,"-0.88, 0.0, -0.108479","0.88, 2.39995, 0.07","176.0, 239.995, 17.8479",,"757,757_0"
758,633,"0,0,1",4,"-0.53, 0.0, -0.76975906","0.53, 2.18, 0.06999999","105.99999, 218.0, 83.9759",,"758,758_0"
758_0,633,"0,0,1",4,"-0.53, 0.0, -0.135007","0.53, 2.18, 0.07000001","105.99999, 218.0, 20.500698",,"758,758_0"
759,634,"0,0,1",3,"-0.53, 0.0, -0.65999794","0.53, 2.18, 0.06999999","105.99999, 218.0, 72.9998",,"759,759_0"
759_0,634,"0,0,1",3,"-0.53, 0.0, -0.089628205","0.53, 2.18, 0.0900494","105.99999, 218.0, 17.96776",,"759,759_0"
760,635,"0,0,1",3,"-0.53, 0.0, -0.649998","0.53, 2.18, 0.06999999","105.99999, 218.0, 71.9998",,"760,760_0"
760_0,635,"0,0,1",3,"-0.53, 0.0, -0.0805217","0.53, 2.18, 0.0804811","105.99999, 218.0, 16.10028",,"760,760_0"
761,636,"0,0,1",4,"-0.53, 0.0, -0.65999997","0.53, 2.18, 0.06999999","105.99999, 218.0, 73.0",,"761,761_0"
761_0,636,"0,0,1",4,"-0.53, 0.0, -0.08975251","0.53, 2.18, 0.0898952","105.99999, 218.0, 17.964771",,"761,761_0"
762,637,"0,0,1",3,"-0.53, 0.0, -0.65999794","0.53, 2.18, 0.06999999","105.99999, 218.0, 72.9998",,"762,762_0"
762_0,637,"0,0,1",3,"-0.53, 0.0, -0.0897141","0.53, 2.18, 0.0899424","105.99999, 218.0, 17.965652",,"762,762_0"
763,638,"0,0,1",6,"-0.785, 0.0, -0.799999","0.785, 2.26, 0.06000021","157.0, 226.0, 85.99992",,"763,763_0"
763_0,638,"0,0,1",6,"-0.785, 0.0, -0.0755929","0.785, 2.26, 0.0956407","157.0, 226.0, 17.12336",,"763,763_0"
764,639,"0,0,1",5,"-0.719996, 0.0, -0.779999","0.7200041, 2.3, 0.060000002","144.0, 230.0, 83.9999",,"764,764_0"
764_0,639,"0,0,1",5,"-0.719996, 0.0, -0.0927733","0.7200041, 2.3, 0.08246009","144.0, 230.0, 17.52334",,"764,764_0"
765,640,"0,0,1",5,"-1.65, -2.3841858E-7, -0.58000195","1.65, 2.7, 1.92","330.0, 270.00003, 250.0002",,"765,765_0"
765_0,640,"0,0,1",5,"-1.65, -2.3841858E-7, -0.08000259","1.65, 2.7, 0.141596","330.0, 270.00003, 22.15986",,"765,765_0"
766,641,"0,0,1",4,"-0.35, 0.0, -0.075","0.35, 1.4, 0.10000001","70.0, 140.0, 17.5",,
